Country Name,Country Code,GDP per capita,CPI, GDP deflator,BOP,Current Account (% GDP),Unemployment,Gini,Gross savings (% of GDP),Gross Savings,Net FDI,Consumption (% of GDP),Consumption,Value Added,LFPR,Trade (% of GDP)
Chad,TCD,664.2956519,,-4.942625366,,,5.784999847,43.3,,,,83.65059196,8777114213,1770294954,71.16400146,68.00722667
Channel Islands,CHI,,,,,,9.378000259,,,,,,,,57.64899826,
Chile,CHL,13792.92605,3.786661771,3.766416941,-3574377981,-1.446953076,6.739999771,47.7,20.2032919,49907770263,-5100521891,77.57254994,,88644719922,62.14099884,56.08719875
China,CHN,8123.180873,2,1.221799698,1.9638E+11,1.753528741,4.649000168,42.2,46.05296524,5.15754E+12,46646418344,53.46064294,,4.4369E+12,69.36599731,37.05938339
Colombia,COL,5805.605385,7.517452808,5.852431958,-12128921762,-4.293992851,8.350000381,51.1,19.15662239,54110284354,-9331643517,81.11768627,2.94519E+11,1.12126E+11,70.26599884,34.91569826
Comoros,COM,775.0800846,,6.943818354,,,4.347000122,45,,,,106.9027103,,,42.95999908,59.68693375
"Congo, Dem. Rep.",COD,449.3715203,,5.513514752,-1334148106,-3.770720202,3.691999912,42.1,12.3033755,4353153838,-932374669.4,89.33403062,28173019952,13616679326,72.42099762,55.3077805
"Congo, Rep.",COG,1528.24472,,-6.42761589,,,10.42099953,48.9,,,,71.94421931,5536497680,8436674345,69.74099731,136.5189809
Costa Rica,CRI,11824.6381,-0.004186378,2.297647776,-1489803274,-2.593871538,8.979999542,48.2,15.04771503,8642731451,-2439999736,80.5907144,,9720285928,59.41699982,63.52421231
Cote d'Ivoire,CIV,1534.973724,0.726187589,1.56802802,,,2.599999905,41.7,,,,67.11836297,28249607399,8523154688,57.36800003,52.58739287
Croatia,HRV,12149.18958,-1.1,-0.104514875,1389873897,2.740560119,13.10000038,32.2,22.48643886,11403987888,-2149993482,77.12875726,46343576246,13147374354,51.48699951,96.28075711
Cuba,CUB,,,,,,2.427000046,,,,,,,,54.42399979,
Curacao,CUW,,,,-565893854.7,,,,,,-95363128.49,,,,,
Cyprus,CYP,23541.48825,-1.429166667,-0.861523839,-965416659.2,-4.815763057,12.94999981,35.6,11.45414051,2296213068,-1446731477,84.4403366,20288290733,2574452021,62.86700058,131.3897089
Czech Republic,CZE,18483.71648,0.639352818,1.235923138,2138782863,1.095098402,3.950000048,25.9,26.85166964,52442676196,-5845401801,66.17678977,1.54479E+11,76043511840,60.14199829,151.5987673
Denmark,DNK,53578.75657,0.25,-0.046444164,22459550689,7.318206599,6.179999828,28.5,28.29654168,86841988331,11185685339,72.82854186,2.53149E+11,67957664149,63.30599976,100.9741225
Djibouti,DJI,,2.738412087,,-170031510.2,,5.836999893,44.1,,,-159998874.6,,,,58.92100143,
Dominica,DMA,7906.721671,0.231336293,5.875658101,4791870.631,0.824076048,,,,,-31610783.48,,,56079960.95,,102.3308643
Dominican Republic,DOM,6722.223536,1.614166072,0.806877213,-977600000,-1.365676824,5.489999771,44.9,21.52843545,15410819109,-2406700000,80.72431664,56012058375,20574899788,66.78399658,54.07260981
Ecuador,ECU,6018.526868,1.724430236,0.90947269,1440767452,1.461017564,4.599999905,46.5,26.62417583,26255157300,-755521868.1,74.31360132,61845925462,29935388042,68.51399994,38.82977455
"Egypt, Arab Rep.",EGY,3477.851743,13.81463839,6.252383178,-20129500000,-6.048690385,12.40999985,31.8,9.332179721,31056658506,-7900200000,94.2879297,2.39995E+11,82240217297,47.84700012,30.03360041
El Salvador,SLV,4223.584579,0.603938659,0.482255891,-530643273,-1.980199149,4.420000076,40.8,11.66206963,3125139611,-373884328.6,100.8401913,24666033909,6030857016,61.10699844,64.21221854
Equatorial Guinea,GNQ,8747.353473,1.419916698,-6.678225731,,,6.193999767,,,,,79.31335975,8561493779,9895923833,59.49700165,94.3335274
Eritrea,ERI,,,,,,6.452000141,,,,,,,,81.36000061,
Estonia,EST,17736.8027,0.149108978,1.592692393,447112192.8,1.915819533,6.760000229,34.6,26.13864273,6100212293,-552118614.2,71.89748848,17356850431,6024668847,62.9469986,154.1028497
Ethiopia,ETH,706.7574751,7.266076144,9.450111668,-8269356693,-11.4258312,5.092999935,33.2,28.20295751,20411671716,-3988953392,79.93534927,,8155702586,82.33699799,35.79045605
Faroe Islands,FRO,,,,,,,,,,,,,,,
Fiji,FJI,5233.469423,3.864771418,6.564051234,,,6.237999916,36.4,,,,105.137678,,586170691.4,58.36299896,77.45186599
Finland,FIN,43433.03222,0.3569705,0.790898505,-2551060853,-1.068830959,8.819999695,26.8,20.57279796,49102675287,22782782229,79.31529895,2.02996E+11,59811008445,58.47200012,72.80753384
France,FRA,36857.11923,0.183334861,0.385265655,-21123624292,-0.856784369,10.06000042,32.3,20.63018652,5.08628E+11,28978049480,78.94741565,2.24495E+12,4.77715E+11,55.42100143,60.46915527
French Polynesia,PYF,,,,,,20.99099922,,,,,,,,55.09500122,
Gabon,GAB,7179.340661,2.106707128,-2.287276706,,,19.81900024,,,,,54.0655196,8358609094,9031214812,51.19599915,68.15384205
"Gambia, The",GMB,473.1904366,7.220092431,7.140481134,-95561108.12,-9.906820396,9.43200016,,14.83552485,143103350.8,523430.1683,99.17406326,1075360037,139842201.9,59.18999863,65.90218979
Georgia,GEO,3865.785693,2.134927139,4.189155708,-1840938803,-12.80384379,11.76000023,38.5,19.85162986,2854270663,-1332578701,82.99389621,,3190646417,67.4980011,102.9296009
Germany,DEU,42161.31966,0.483355422,1.329210699,2.86842E+11,8.247816554,4.119999886,31.4,27.59195263,9.59592E+11,23786316546,72.83090282,2.8054E+12,1.05204E+12,60.49300003,84.26726674
Ghana,GHA,1513.461034,17.47392384,17.42459053,-2832047271,-6.634016439,2.25999999,42.2,15.87211951,6775773492,-3470668373,84.28237621,,9799139304,76.73500061,88.60246498
Gibraltar,GIB,,,,,,,,,,,,,,,
Greece,GRC,17890.57494,-0.825657581,-0.956305221,-1964347385,-1.019429704,23.54000092,35.8,10.07555981,19414678123,-4637309746,90.11254106,2.2199E+11,33391088747,53.1590004,61.63986902
Greenland,GRL,,,,,,,,,,,,,,,
Grenada,GRD,9841.76405,1.721291783,2.172025181,-33893231.03,-3.209013169,,,,,-90754005.77,,,120770310.4,,108.4665049
Guam,GUM,35562.56753,,1.333110544,,,5.400000095,,,,,,,,65.20700073,70.56792681
Guatemala,GTM,4146.744129,4.448441999,3.875220229,1023400000,1.488294854,2.829999924,48.7,14.2500593,9798804751,-1067600000,94.87017007,50606498958,13751906107,61.98400116,46.8218679
Guinea,GIN,661.5277734,8.129877159,8.528124541,-2744898754,-33.47336267,4.510000229,33.7,,,-1513372474,,,2754254500,64.24199677,
Guinea-Bissau,GNB,641.5959647,1.694338806,6.591822397,10056270,0.863240259,6.144999981,50.7,2.757105611,32118750.44,-13954800,95.92036618,1157914500,137864139.7,71.55500031,53.15952451
Guyana,GUY,4529.139412,0.738640603,5.987972957,127852599.4,3.650431288,11.8579998,,29.65239861,1038544747,-5999078.166,79.00600765,,205651734.9,57.61500168,107.1251097
Haiti,HTI,739.5954363,13.83374255,12.70684553,-72459348.34,-0.903185982,14.00199986,40.9,30.82892601,2473293356,-104900000,100.4118914,8122106013,,67.84700012,71.80887414
Honduras,HND,2361.160205,2.724612233,3.670521328,-799010000,-3.713399956,4.670000076,50.1,19.55494787,4207626188,-800820000,92.01537512,18397617787,4740391826,68.1309967,100.7488512
"Hong Kong SAR, China",HKG,43740.99288,2.385685885,1.777364658,12711203776,3.960985045,3.352999926,,25.55025092,81993353240,-57706925768,76.12068401,2.0456E+11,20575566130,60.62900162,372.6192804
Hungary,HUN,12820.0882,0.400742226,0.959284367,7705244547,6.124185578,5.110000134,30.9,23.21905062,29213429431,-2351453777,70.14167009,1.05708E+11,36636817025,55.7519989,168.992646
Iceland,ISL,60529.92676,1.694700967,2.113044658,1599014199,7.875327389,2.980000019,25.6,29.17041476,5922789630,-725869400.6,71.18995907,11580388970,,77.73799896,90.41946016
India,IND,1709.591808,4.941447235,3.611788437,-12113713480,-0.53510706,3.505000114,35.2,30.17921364,6.83195E+11,-39411278940,71.08231716,1.65671E+12,7.1075E+11,53.92900085,39.81096614
Indonesia,IDN,3570.294888,3.525805157,2.450128244,-16790373412,-1.801041364,4.119999886,39.5,32.15823066,2.99798E+11,-16062982209,64.93251269,6.70984E+11,4.20854E+11,66.37200165,37.38680379
"Iran, Islamic Rep.",IRN,5219.109408,8.569717835,1.607189488,,,12.43000031,38.8,,,,62.70557062,2.69455E+11,2.22079E+11,44.33499908,43.21446335
Iraq,IRQ,4609.600694,,-12.91720905,3843100000,2.241018352,7.959000111,29.5,12.30824856,21107292576,157900000,87.46170754,,1.35591E+11,46.26599884,73.3574741
Ireland,IRL,64175.43772,0,0.020732442,14348515241,4.707224415,7.889999866,31.9,36.34846738,1.10797E+11,23024931240,45.31701916,1.5589E+11,1.14618E+11,60.38499832,221.1580156
Isle of Man,IMN,,,,,,,,,,,,,,,
Israel,ISR,37180.52711,-0.544936284,0.843294245,11879300000,3.73862942,4.800000191,41.4,24.28230786,77155766828,1169300000,77.42830524,2.33519E+11,52678762905,64.22699738,58.44597425
Italy,ITA,30668.98143,-0.123335389,0.848446622,50455760043,2.713574529,11.68999958,34.7,19.64029274,3.65188E+11,-3113696133,79.58305792,1.67864E+12,4.37397E+11,48.84600067,56.35103785
Jamaica,JAM,4878.575791,2.349420027,4.595385589,-103005162.2,-0.732772503,13.18999958,,20.55378633,2889226988,-564135134,92.22098565,12898944334,2445922260,67.02100372,76.30116085
Japan,JPN,38972.34064,-0.116666667,0.273557738,1.87265E+11,3.783683208,3.130000114,,27.33112868,1.35269E+12,1.34749E+11,75.46939729,4.60325E+12,1.72157E+12,60.45600128,31.26658245
Jordan,JOR,4087.937517,-0.787514318,1.007517544,-3610422535,-9.340183583,15.27499962,33.7,,,-1535633803,,,8117454755,39.1629982,
Kazakhstan,KAZ,7714.693568,14.51024459,13.63843362,-8925665520,-6.501875543,4.960000038,26.5,21.0119175,28844807357,-13511088761,69.37403321,,66738985630,71.00299835,60.19806498
Kenya,KEN,1455.359765,6.297547502,8.026256183,-3653063585,-5.179518807,11.52000046,,12.03026918,8484830326,-235647319.4,91.5795792,51697501930,10514233910,65.44300079,37.92923151
Kiribati,KIR,1587.057869,,7.25171542,35883634.82,19.76499109,,,,,-2018999.834,,,,,106.7057315
"Korea, Dem. People’s Rep.",PRK,,,,,,4.721000195,,,,,,,,80.48100281,
"Korea, Rep.",KOR,27538.80613,0.97,1.807303488,99243000000,7.032298326,3.710000038,31.6,35.69772608,5.03783E+11,17856700000,63.99415471,8.25846E+11,4.55354E+11,62.64199829,77.68003802
Kosovo,XKX,3661.429847,0.300025002,-0.330424832,-553651314.7,-8.32572279,,26.7,18.56637687,1234643433,-196683281.5,101.0209026,7013303222,1334909268,,73.60022724
Kuwait,KWT,27359.23033,3.198404612,-6.133643629,641706076.7,0.578762323,2.107000113,,25.66771597,28459228726,6110599562,71.20268843,70670969993,96245867196,69.60700226,94.6613503
Kyrgyz Republic,KGZ,1077.603082,0.421679458,2.475691517,-792242626.4,-12.09292942,7.210000038,29,23.22440685,1521497765,-578968800,101.8184938,6186435829,1788821639,61.61800003,108.7169676
Lao PDR,LAO,2338.692157,1.509359614,3.02252102,-1233698910,-7.805401545,0.661000013,36.4,18.57260764,2935531975,-997439368.7,78.38434986,9128725884,3960947896,78.14499664,77.59776709
Latvia,LVA,14071.02723,0.134138162,0.274023657,376967057.2,1.367175061,9.640000343,35.1,21.00019152,5790319488,1361887.089,79.48181483,23072586545,5539083453,60.73099899,119.1822596
Lebanon,LBN,8257.294391,-0.814751744,-1.684206085,-9863042477,-19.88563697,6.228000164,31.8,7.567322056,3753302898,-1968273305,96.73628881,44803040576,5246761134,47.14400101,72.61375013
Lesotho,LSO,1039.704072,6.609116058,2.949558658,-198196452.1,-8.649874653,27.78199959,54.2,21.33063291,488753413.7,-80434059.65,112.5868591,3624215901,767834344.7,66.34799957,125.3786992
Liberia,LBR,455.3707414,8.833967088,4.973579234,,,2.338000059,33.2,,,,158.7720133,2349296508,149747579.2,55.7179985,121.6944312
Libya,LBY,,,,-4705200000,,18.42300034,,,,439500000,,,,52.45999908,
Liechtenstein,LIE,,,,,,,,,,,,,,,
Lithuania,LTU,14912.68654,0.905521554,0.950554934,-490220378.3,-1.146096922,7.860000134,37.7,16.3536341,6994944795,-150402678.2,81.38272177,37983797023,12189687483,60.52799988,147.610119
Luxembourg,LUX,100738.6842,0.299166667,-1.309389049,2893899977,4.935757462,6.289999962,31.2,21.68199028,12712438090,1.00894E+11,46.95010037,30484335985,7276544245,57.96500015,407.4311038
"Macao SAR, China",MAC,74017.18471,2.374195989,0.885022293,12215247933,26.95875361,1.906999946,,48.60840302,22024894150,-1353298797,36.77804922,11690805654,1930693907,70.7990036,110.5875533
"Macedonia, FYR",MKD,5237.14767,-0.239290788,6.259109307,-298630602.2,-2.739835074,23.71999931,35.6,30.79001215,3355982977,-349364660.9,80.98722175,9498379208,3091069894,54.96900177,113.0416978
Madagascar,MDG,401.7422696,6.654801865,6.680803449,-37786010.94,-0.37781502,1.796000004,42.7,14.16390617,1416559652,-451114994.4,86.99984091,8941677718,2179212617,86.33999634,69.25522488
Malawi,MWI,300.3076651,21.70724298,19.54413214,-737198128.5,-13.56879964,5.984000206,46.1,8.57298474,465773574.1,-327962290.8,96.70941694,9797369586,1232644542,76.82900238,78.17780284
Malaysia,MYS,9508.23775,2.127659574,1.951206348,6920851957,2.333899959,3.440000057,,28.23005446,83712254629,-3452917424,67.43585992,2.27389E+11,1.33801E+11,64.32299805,128.6446851
Maldives,MDV,9875.278428,0.502509414,-0.674113734,-839967093.1,-19.8845979,5.027999878,,,,-448006042.5,,,428715322.1,65.31300354,155.3994937
Mali,MLI,779.9448438,-1.800441907,1.53036529,,,7.813000202,,,,,99.17904138,11807760898,2730207653,71.20600128,62.41011716
Malta,MLT,25145.39315,0.577054664,1.604548164,726913236.3,6.608874368,4.699999809,,31.11542313,3422400195,-9185939787,65.29704466,7977244254,,54.60100174,268.189186
Marshall Islands,MHL,3665.207477,,6.206966284,-16213012.14,-8.335828892,,,,,3055847.449,,,,,111.4544681
Mauritania,MRT,1101.901627,1.48600677,4.1,-706785516.3,-14.91329322,10.1239996,32.4,24.1432363,1144220091,-271134845,78.55869879,,2089428055,49.4109993,100.5284089
Mauritius,MUS,9630.944028,1.023864511,2.084774077,-531980416.6,-4.371805385,7.300000191,35.8,4.8948172,595622783.6,-13001248989,92.66886004,9855602442,,58.96500015,98.38329047
Mexico,MEX,8208.555984,2.821707752,4.609582602,-22828408500,-2.180524737,3.880000114,48.2,23.32734968,2.44219E+11,-28151129263,78.54185893,9.71561E+11,3.88131E+11,61.27899933,78.11258507
"Micronesia, Fed. Sts.",FSM,3143.749107,,4.735830764,,,,40.1,,,,,,,,99.02402457
Moldova,MDA,1900.226088,6.384098347,5.398558226,-285580000,-4.231118418,4.179999828,27,17.21545799,1161960032,-74680000,105.6778689,7220257525,1046022001,42.79600143,115.3850873
Monaco,MCO,,,,,,,,,,,,,,,
Mongolia,MNG,3694.082552,0.554046135,2.123294672,-699671011.2,-6.256302863,7.239999771,32,29.29973174,3276723232,4170877673,65.83039044,7916658272,4205955290,59.28300095,95.63942183
Montenegro,MNE,7028.934799,-0.271385023,5.101005617,-787804523.1,-18.01055353,17.71999931,31.9,8.008055455,350282532.8,-411492410.7,96.36703757,4671230063,951748062.6,48.6780014,103.3843414
Morocco,MAR,2892.775561,1.635311143,1.601841423,-4531144683,-4.373424912,9.399999619,,28.91415134,29956888654,-1682564851,77.18082232,88833123255,27483746555,49.0870018,80.42089558
Mozambique,MOZ,382.0693304,9.966216216,12.16699191,-3912303016,-35.51841345,25.15399933,,3.312728079,364892313.5,-3093429233,99.73767036,14472547383,2720923713,78.84799957,111.9100435
Myanmar,MMR,1195.515372,6.964739177,3.555517528,-2011014692,-3.18072219,0.782999992,38.1,,,-3278096410,,,23013754112,65.31099701,45.48171922
Namibia,NAM,4414.978947,6.711963782,7.906137661,-1595248750,-14.57130193,23.35000038,,9.085071544,994622793.3,-365565202,98.03128977,15781030668,3664460297,61.25899887,108.1771886
Nauru,NRU,7821.298918,,5.695259857,,,,,,,,,,,,150.5533975
Nepal,NPL,729.1222515,8.79034332,5.07174288,-167829918.9,-0.794198618,3.062000036,32.8,40.56714579,8572642452,-105996375.6,96.17752615,18278155001,2550570110,84.28700256,48.87582562
Netherlands,NLD,45637.88675,0.316666667,0.584057801,65572555304,8.436725643,6.010000229,28.6,28.77182211,2.23623E+11,99403676248,68.93619928,6.0014E+11,1.67874E+11,63.7140007,153.888828
New Caledonia,NCL,,,,,,14.62100029,,,,,,,,62.8429985,
New Zealand,NZL,39412.48525,1.082882132,2.417202387,-4766366079,-2.576822547,5.110000134,,19.64186116,36331683327,-2835432700,76.45176349,1.3626E+11,,69.30899811,52.51491259
Nicaragua,NIC,2151.382047,3.519937252,4.084793575,-1133400000,-8.566346494,4.446000099,46.6,25.1522784,3327858890,-859700000,86.73996936,10841546976,2984112492,66.49099731,95.93197581
Niger,NER,364.1654618,0.170799497,-0.43547339,,,0.331999987,34,,,,82.46231124,6742661235,1647038606,78.92099762,48.70639159
Nigeria,NGA,2175.673442,15.69685447,9.54367007,2713369614,0.670542784,7.059999943,,,,-3133742257,,,99257119472,55.15100098,
Northern Mariana Islands,MNP,22572.37882,,3.509096254,,,,,,,,,,,,145.4911433
Norway,NOR,70867.94061,3.55,-1.114069969,14301168812,3.853980903,4.679999828,26.8,33.17962625,1.23121E+11,28784732681,69.81808336,3.1374E+11,1.53212E+11,64.37200165,67.40983089
Oman,OMN,14982.35792,1.101052116,,-12319042696,-18.58261703,15.82299995,,,,-1324300390,,,,69.83799744,77.42783388
Pakistan,PAK,1443.625016,3.752595854,0.545966053,-6895000000,-2.472093744,3.844000101,30.7,22.97470338,64079519714,-2272000000,91.31023554,2.10081E+11,43937142386,54.37200165,25.13914378
Palau,PLW,14428.14026,,2.257207002,,,,,,,,87.50997185,230852172.7,34853136.91,,124.7706756
Panama,PAN,13680.23601,0.746026597,0.933311636,-3160000000,-5.725913564,5.489999771,51,32.17437781,17756299100,-5041000000,58.73174639,27531490255,11757474065,66.91000366,94.33986196
Papua New Guinea,PNG,2500.091116,6.673728814,6.073164494,5180993389,25.6317147,2.64199996,,,,39769816.36,,,,69.98400116,
Paraguay,PRY,4077.742073,4.086822806,5.279240562,414532812.9,1.511565541,5.25,48,17.66571367,4844657927,-320305000,79.79539794,19849707914,7116291615,70.30899811,81.27057385
Peru,PER,6049.232578,3.595722243,3.642463084,-5303450865,-2.759234278,3.529999971,44.3,19.69603517,37857225672,-6559663856,78.24090415,1.46667E+11,64685102679,76.27500153,44.80476138
Philippines,PHL,2951.071929,1.766784452,1.658711234,-1198874442,-0.393195534,2.710000038,40.1,43.79288796,1.33527E+11,-5882813657,84.686861,2.3286E+11,96423838751,62.24399948,64.89894979
Poland,POL,12414.09873,-0.609676201,0.416249587,-1369000000,-0.290433468,6.159999847,32.1,19.36205319,91265827547,-5588000000,76.3556305,4.37462E+11,1.70527E+11,56.86000061,100.4723892
Portugal,PRT,19871.71897,0.607397075,1.517649335,1200978378,0.585316382,11.06999969,35.6,15.15931032,31104552109,-3590681595,83.397764,1.96817E+11,44275131318,58.54700089,79.13715668
Puerto Rico,PRI,30790.10479,,4.558287985,,,11.77999973,,,,,64.63581014,,,41.7120018,109.6555894
Qatar,QAT,59324.33877,2.875505832,-9.417458816,-8324450549,-5.460377528,0.148000002,,,,7128021978,48.89994143,,1.48611E+11,87.14099884,89.11402442
Romania,ROU,9522.771041,-1.538403049,2.161152225,-3903909504,-2.08106354,5.900000095,27.5,22.71610353,42613601526,-4996271644,75.91539615,1.63178E+11,63304156587,53.57600021,83.71064998
Russian Federation,RUS,8748.368853,7.049766291,3.610349378,25542630000,1.990599034,5.537000179,37.7,25.36934606,3.2553E+11,-10224580000,71.44402833,1.08117E+12,4.89585E+11,63.83000183,46.2673312
Rwanda,RWA,702.8356016,5.7254587,4.89283404,-1210985334,-14.45771566,1.231999993,50.4,11.74431661,983709702.8,-246873288.4,91.99153823,8613057033,1546505564,86.21499634,48.20187368
Samoa,WSM,4030.013144,1.30385728,-1.575411404,-31936380.06,-4.061311579,8.487000465,,,,12839731.3,,,179672427,31.61499977,79.18747608
San Marino,SMR,47908.56141,0.57394802,0.652949431,,,,,,,,,,,,
Sao Tome and Principe,STP,1714.680184,5.431253321,4.477360822,-61493955.3,-17.93968363,13.35299969,30.8,,,-22324985.99,,,44557158.17,58.17399979,
Saudi Arabia,SAU,20028.64821,3.523510972,-2.513844684,-23842752835,-3.688325686,5.860000134,,27.41665965,1.77232E+11,1483622000,68.48143121,3.69352E+11,4.02997E+11,55.88499832,60.8562876
Senegal,SEN,952.7683234,0.834768889,1.113505432,,,4.847000122,40.3,,,,90.03046081,14904330586,3635464266,56.99399948,72.90564643
Serbia,SRB,5426.198279,1.122313974,2.534554856,-1513480443,-3.951661058,15.26000023,29.1,15.12943466,5794551490,-2057256170,88.37328388,37757124405,10210671964,53.87200165,107.4984923
Seychelles,SYC,15075.71944,-1.015546276,-4.981935607,-286441356.7,-20.06842027,,46.8,,,-154668529.9,,,,,
